00:00:03, LIFTOFF THE HOLODOWN CLAMPS HAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT 
00:00:04, LIFTOFF THE HOLODOWN CLAMPS HAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT  
00:00:05, LIFTOFF THE HOLODOWN CLAMPS HAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT 
00:00:06, LIFTOFF THE HOLODOWN CLAMPS HAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT 
00:00:07, LIFTOFF THE HOLODOWN CLAMPS HAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT 
00:01:15, MAX Q MAXIMUM DYNAMIC PRESSURE THIS IS THE LARGEST AMOUNT OF AERODYNAMIC STRESS EXERTED ON THE VEHICLE 
00:01:16, MAX Q MAXIMUM DYNAMIC PRESSURE THIS IS THE LARGEST AMOUNT OF AERODYNAMIC STRESS EXERTED ON THE VEHICLE 
00:01:17, MAX Q MAXIMUM DYNAMIC PRESSURE THIS IS THE LARGEST AMOUNT OF AERODYNAMIC STRESS EXERTED ON THE VEHICLE 
00:01:18, MAX Q MAXIMUM DYNAMIC PRESSURE THIS IS THE LARGEST AMOUNT OF AERODYNAMIC STRESS EXERTED ON THE VEHICLE 
00:01:19, MAX Q MAXIMUM DYNAMIC PRESSURE THIS IS THE LARGEST AMOUNT OF AERODYNAMIC STRESS EXERTED ON THE VEHICLE 
00:01:20, MAX Q MAXIMUM DYNAMIC PRESSURE THIS IS THE LARGEST AMOUNT OF AERODYNAMIC STRESS EXERTED ON THE VEHICLE  
00:01:21, MAX Q MAXIMUM DYNAMIC PRESSURE THIS IS THE LARGEST AMOUNT OF AERODYNAMIC STRESS EXERTED ON THE VEHICLE 
00:02:39, MECO MAIN ENGINE CUTOFF 
00:02:41, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:42, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:43, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:44, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:45, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:46, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:47, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:49, SES 1 SECOND ENGINE STARTUP 1
00:02:50, SES 1 SECOND ENGINE STARTUP 1 
00:02:51, SES 1 SECOND ENGINE STARTUP 1 
00:02:52, SES 1 SECOND ENGINE STARTUP 1 
00:02:53, SES 1 SECOND ENGINE STARTUP 1
00:02:54, SES 1 SECOND ENGINE STARTUP 1
00:03:37, FAIRING DEPLOY THE PROTECTIVE NOSECONE AT THE TOP OF THE ROCKET HAS BEEN DEPLOYED
00:03:38, FAIRING DEPLOY THE PROTECTIVE NOSECONE AT THE TOP OF THE ROCKET HAS BEEN DEPLOYED
00:03:39, FAIRING DEPLOY THE PROTECTIVE NOSECONE AT THE TOP OF THE ROCKET HAS BEEN DEPLOYED
00:03:40, FAIRING DEPLOY THE PROTECTIVE NOSECONE AT THE TOP OF THE ROCKET HAS BEEN DEPLOYED
00:03:41, FAIRING DEPLOY THE PROTECTIVE NOSECONE AT THE TOP OF THE ROCKET HAS BEEN DEPLOYED
00:03:42, FAIRING DEPLOY THE PROTECTIVE NOSECONE AT THE TOP OF THE ROCKET HAS BEEN DEPLOYED
